Casino,	City,	County,	State,
Buzz Inn Casino and Steakhouse,	East Wenatchee, Washington,	Douglas,	Washington,
Chewelah Casino,	Chewelah,	Stevens,	Washington,
Clearwater Poker Room,	Wenatchee,	Chelan,	Washington,
Club Hollywood Casino,	Shoreline,	King,	Washington,
Coulee Dam Casino,	Coulee Dam,	Lincoln,	Washington,
Coyote Bob's Casino,	Kennewick,	Benton,	Washington,
Crazy Moose Casino - Mountlake Terrace,	Mountlake Terrace,	Snohomish,	Washington,
Crazy Moose Casino - Pasco,	Pasco,	Lincoln,	Washington,
Elwha River Casino,	Port Angeles,	Clallam,	Washington,
Emerald Downs Race Track,	Auburn,	King,	Washington,
Emerald Queen Casino,	Fife,	Pierce,	Washington,
Emerald Queen Casino,	Tacoma,	Pierce,	Washington,
Ilani Casino Resort,	La Center,	Clark,	Washington,
Joker's Casino,	Richland,	Benton,	Washington,
Lancer Casino,	Clarkston,	Asotin,	Washington,
Legends Casino at Yakima Nation,	Toppenish,	Yakima,	Washington,
Little Creek Casino and Resort,	Shelton,	Mason,	Washington,
Lucky Dog Casino,	Potlatch,	Mason,	Washington,
Lucky Eagle Casino,	Rochester,	Thurston,	Washington,
Lucky Dragonz Casino,	Seattle,	King,	Washington,
Mill Bay Casino,	Manson,	Chelan,	Washington,
Mr. Z's Casino,	Pullman,	Whitman,	Washington,
Muckleshoot Indian Casino,	Auburn,	King,	Washington,
New Phoenix Casino,	La Center,	Clark,	Washington,
Nisqually Red Wind Casino,	Yelm,	Thurston,	Washington,
Nob Hill Casino,	Yakima,	Yakima,	Washington,
Nooksack Northwood Casino,	Lynden,	Whatcom,	Washington,
Nooksack River Casino,	Deming,	Whatcom,	Washington,
Northern Quest Casino,	Airway Heights,	Spokane,	Washington,
Okanogan Casino and Bingo,	Okanogan,	Okanogan,	Washington,
Quil Ceda Creek Casino,	Tulalip,	Snohomish,	Washington,
Quinault Beach Resort and Casino,	Ocean Shores,	Grays Harbor,	Washington,
Red Dragon Casino,	Mountlake Terrace,	Snohomish,	Washington,
Roxy's Casino,	Seattle,	King,	Washington,
Royal Casino,	Everett,	Snohomish,	Washington,
Shoalwater Bay Casino,	Tokeland,	Pacific,	Washington,
Silver Dollar Casino - Mill Creek,	Mill Creek,	Snohomish,	Washington,
Silver Dollar Casino - Renton,	Renton,	King,	Washington,
Silver Dollar Casino - SeaTac,	SeaTac,	King,	Washington,
Silver Reef Casino,	Ferndale,	Whatcom,	Washington,
Skagit Valley Casino,	Bow,	Skagit,	Washington,
Snoqualmie Casino,	Snoqualmie,	King,	Washington,
Spokane Tribe Casino,	Airway Heights,	Spokane,	Washington,
Suquamish Clearwater Casino Resort,	Suqamish,	Kitsap,	Washington,
Swinomish Northern Lights Casino,	Anacortes,	Skagit,	Washington,
The Point Casino,	Kingston,	Kitsap,	Washington,
Tulalip Resort Casino at Quil Ceda,	Marysville,	Snohomish,	Washington,
Tulalip Resort Casino,	Tulalip,	Snohomish,	Washington,
Wild Goose Casino,	Ellensburg,	Kittitas,	Washington,
Wizards Casino,	Burien,	King,	Washington,
The Casino Club at The Greenbrier,	Greenbrier,	Greenbrier,	West Virginia,
Bad River Lodge& Casino[52],	Odanah,	Ashland,	Wisconsin,
Grindstone Creek Casino,	Hayward,	Sawyer,	Wisconsin,
Ho-Chunk Gaming Beloit,	Beloit,	Rock,	Wisconsin,
Ho-Chunk Gaming Black River Falls,	Black River Falls,	Jackson,	Wisconsin,
Ho-Chunk Gaming Madison,	Madison,	Dane,	Wisconsin,
Ho-Chunk Gaming Nekoosa,	Nekoosa,	Wood,	Wisconsin,
Ho-Chunk Gaming Tomah,	Tomah,	Monroe,	Wisconsin,
Ho-Chunk Gaming Wisconsin Dells,	Baraboo,	Sauk,	Wisconsin,
Ho-Chunk Gaming Wittenberg,	Wittenberg,	Shawano,	Wisconsin,
Lake of the Torches,	Lac du Flambeau,	Vilas,	Wisconsin,
Legendary Waters Resort & Casino,	Bayfield,	Bayfield,	Wisconsin,
Menominee Casino Resort,	Keshena,	Menominee,	Wisconsin,
Mole Lake Casino & Lodge,	Mole Lake,	Forest,	Wisconsin,
North Star Mohican Casino Resort,	Bowler,	Shawano,	Wisconsin,
Oneida Casino - Main Airport,	Green Bay,	Brown,	Wisconsin,
Oneida Casino - Irene Moore Activity Center,	Green Bay,	Brown,	Wisconsin,
Oneida Casino - Packerland,	Green Bay,	Brown,	Wisconsin,
Oneida Casino - Travel Center,	Pulaski,	Brown,	Wisconsin,
Oneida Casino - West Mason Street Casino,	Green Bay,	Brown,	Wisconsin,
Potawatomi Hotel & Casino,	Milwaukee,	Milwaukee,	Wisconsin,
Potawatomi Carter Casino Hotel,	Carter,	Forest,	Wisconsin,
St. Croix Casino Danbury,	Danbury,	Burnett,	Wisconsin,
St. Croix Casino Hertel,	Webster,	Burnett,	Wisconsin,
St. Croix Casino Turtle Lake,	Turtle Lake,	"Barron
Polk,"	Wisconsin,
Sevenwinds Casino, Lodge & Convention Center,	Hayward,	Sawyer,	Wisconsin,
Thunderbird Casino,	Keshena,	Menominee,	Wisconsin,
Wind River Casino[53],	Riverton,	Fremont,	Wyoming,
789 Casino[54],	Riverton,	Fremont,	Wyoming,
Little Wind Casino[53],	Ethete,	Fremont,	Wyoming,
Shoshone Rose Casino & Hotel[53],	Fort Washakie,	Fremont,	Wyoming,
